Domain,Type,Sponsoring Organisation,Date
.partners,generic,"Magic Glen, LLC",2024-07-02
.parts,generic,"Sea Goodbye, LLC",2024-07-02
.party,generic,Blue Sky Registry Limited,2024-07-02
.pharmacy,generic,National Association of Boards of Pharmacy,2024-07-02
.photo,generic,"Uniregistry, Corp.",2024-07-02
.photography,generic,"Sugar Glen, LLC",2024-07-02
.photos,generic,"Sea Corner, LLC",2024-07-02
.physio,generic,PhysBiz Pty Ltd,2024-07-02
.piaget,generic,Richemont DNS Inc.,2024-07-02
.pics,generic,"Uniregistry, Corp.",2024-07-02
.pictet,generic,Pictet Europe S.A.,2024-07-02
.pictures,generic,"Foggy Sky, LLC",2024-07-02
.pink,generic,Afilias Limited,2024-07-02
.pizza,generic,"Foggy Moon, LLC",2024-07-02
.place,generic,"Snow Galley, LLC",2024-07-02
.plumbing,generic,"Spring Tigers, LLC",2024-07-02
.plus,generic,"Sugar Mill, LLC",2024-07-02
.pohl,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2024-07-02
.poker,generic,Afilias Domains No. 5 Limited,2024-07-02
.porn,generic,ICM Registry PN LLC,2024-07-02
.praxi,generic,Praxi S.p.A.,2024-07-02
.press,generic,DotPress Inc.,2024-07-02
.prod,generic,Charleston Road Registry Inc.,2024-07-02
.productions,generic,"Magic Birch, LLC",2024-07-02
.prof,generic,Charleston Road Registry Inc.,2024-07-02
.properties,generic,"Big Pass, LLC",2024-07-02
.property,generic,"Uniregistry, Corp.",2024-07-02
.pub,generic,United TLD Holdco Ltd.,2024-07-02
.qpon,generic,"dotCOOL, Inc.",2024-07-02
.quebec,generic,PointQuébec Inc,2024-07-02
.racing,generic,Premier Registry Limited,2024-07-02
.realtor,generic,Real Estate Domains LLC,2024-07-02
.recipes,generic,"Grand Island, LLC",2024-07-02
.red,generic,Afilias Limited,2024-07-02
.redstone,generic,"Redstone Haute Couture Co., Ltd.",2024-07-02
.rehab,generic,United TLD Holdco Ltd.,2024-07-02
.reise,generic,dotreise GmbH,2024-07-02
.reisen,generic,"New Cypress, LLC",2024-07-02
.reit,generic,"National Association of Real Estate Investment Trusts, Inc.",2024-07-02
.ren,generic,"Beijing Qianxiang Wangjing Technology Development Co., Ltd.",2024-07-02
.rentals,generic,"Big Hollow,LLC",2024-07-02
.repair,generic,"Lone Sunset, LLC",2024-07-02
.report,generic,"Binky Glen, LLC",2024-07-02
.republican,generic,United TLD Holdco Ltd.,2024-07-02
.rest,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,2024-07-02
.restaurant,generic,"Snow Avenue, LLC",2024-07-02
.review,generic,dot Review Limited,2024-07-02
.reviews,generic,"United TLD Holdco, Ltd.",2024-07-02
.rich,generic,"I-REGISTRY Ltd., Niederlassung Deutschland",2024-07-02
.rio,generic,Empresa Municipal de Informática SA - IPLANRIO,2024-07-02
.rip,generic,United TLD Holdco Ltd.,2024-07-02
.rocks,generic,"United TLD Holdco, LTD.",2024-07-02
.rodeo,generic,Top Level Domain Holdings Limited,2024-07-02
.rsvp,generic,Charleston Road Registry Inc.,2024-07-02
.ruhr,generic,regiodot GmbH & Co. KG,2024-07-02
.ryukyu,generic,BusinessRalliart inc.,2024-07-02
.saarland,generic,dotSaarland GmbH,2024-07-02
.sale,generic,"United TLD Holdco, Ltd",2024-07-02
.samsung,generic,"SAMSUNG SDS CO., LTD",2024-07-02
.sap,generic,SAP AG,2024-07-02
.sarl,generic,"Delta Orchard, LLC",2024-07-02
.saxo,generic,Saxo Bank A/S,2024-07-02
.sca,generic,SVENSKA CELLULOSA AKTIEBOLAGET SCA (publ),2024-07-02
.scb,generic,"The Siam Commercial Bank Public Company Limited (""SCB"")",2024-07-02
